predict
139.0
139.0
375.0
295.0
93.0
264.0
64.0
113.0
228.0
417.0
120.0
330.0
329.0
138.0
161.0
110.0
283.0
282.0
130.0
493.0
14.0
329.0
303.0
333.0
200.0
38.0
148.0
135.0
500.0
131.0
