predict
586.0
69.4
685.2
355.8
610.4
682.0
377.2
273.6
328.8
395.2
718.8
648.8
451.4
550.6
460.0
285.4
494.4
272.0
847.0
385.4
415.2
545.8
504.6
438.4
508.6
175.0
385.6
216.8
740.8
574.8
